#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
116,Malawi,"60,345",,"2,161 ",,"47,251",,"10,933",285,"3,063",110,"384,283","19,506","19,700,604 ",Africa,"3269,11651",,,555
117,Ivory Coast,"55,108",,430 ,,"53,397",,"1,281",,"2,031",16,"888,751","32,756","27,132,504 ",Africa,"49263,09931",,,47
118,DRC,"54,508",,"1,057 ",,"30,858",,"22,593",,588,11,"306,299","3,304","92,701,705 ",Africa,"1,70187,703303",,,244
119,Australia,"52,624","+1,368","1,003 ",+4,"32,942",,"18,679",125,"2,036",39,"31,321,750","1,212,029","25,842,408 ",Australia/Oceania,"49125,7651",53,0.2,723
120,Réunion,"48,683",,332 ,,"45,980",,"2,371",33,"53,930",368,"173,764","192,490","902,715 ",Africa,"192,7195",,,"2,627"
121,Angola,"47,168",,"1,201 ",,"43,257",,"2,710",8,"1,385",35,"830,836","24,404","34,045,209 ",Africa,"72228,34741",,,80
122,Fiji,"46,027",,479 ,,"25,951",,"19,597",39,"50,916",530,"372,647","412,233","903,971 ",Australia/Oceania,"201,8872",,,"21,679"
123,Guadeloupe,"45,277",,439 ,,"2,250",,"42,588",23,"113,135","1,097","369,615","923,569","400,203 ",North America,99121,,,"106,416"
124,Trinidad and Tobago,"44,481",,"1,278 ",,"38,611",,"4,592",22,"31,665",910,"307,291","218,753","1,404,742 ",North America,"321,0995",,,"3,269"
125,Madagascar,"42,862",,955 ,,"41,295",,612,9,"1,503",33,"241,052","8,454","28,512,838 ",Africa,"66529,856118",,,21
126,Eswatini,"42,828",,"1,081 ",,"33,549",,"8,198",10,"36,478",921,"314,771","268,101","1,174,074 ",Africa,"271,0864",,,"6,983"
127,French Polynesia,"40,178",,385 ,,"33,500",,"6,293",55,"142,077","1,361","26,355","93,196","282,790 ",Australia/Oceania,773511,,,"22,253"
128,Sudan,"37,699",,"2,831 ",,"31,630",,"3,238",,837,63,"238,579","5,298","45,031,763 ",Africa,"1,19515,907189",,,72
129,Malta,"36,089",,440 ,,"34,618",,"1,031",2,"81,482",993,"1,184,836","2,675,141","442,906 ",Europe,"121,0070",,,"2,328"
